"SUB_TYPE","EVENT_MONTH","AMPLIFIED_SOUND_DISTRICT","EVENT_YEAR","CAPACITY","DECIBEL_LEVEL","END_HOURS_CONC_POUR_MON_SAT","END_HOURS_NEAR_HOME_FRI_SAT","END_HOURS_NEAR_HOME_SUN_THUR","END_HOURS_NOT_NEAR_HOME","EXISTING_ZONING","EXPIRATION_DATE","IN_DATE","ISSUE_DATE","ISSUED_BY","OMV_FRI_END_TIME","OMV_FRI_START_TIME","OMV_MON_END_TIME","OMV_MON_START_TIME","OMV_SAT_END_TIME","OMV_SAT_START_TIME","OMV_SUN_END_TIME","OMV_SUN_START_TIME","OMV_THU_END_TIME","OMV_THU_START_TIME","OMV_TUE_END_TIME","OMV_TUE_START_TIME","OMV_WED_END_TIME","OMV_WED_START_TIME","REST_51_PERCENT_FOOD_SALES","SQUARE_FOOTAGE","START_DATE","MULTIPLE_START_DATES","START_HOURS_CONC_POUR_MON_SAT","START_HOURS_NEAR_HOME_FRI_SAT","START_HOURS_NEAR_HOME_SUN_THUR","START_HOURS_NOT_NEAR_HOME","STATUS","STREET_ADDRESS","ZIPCODE","LATITUDE","LONGITUDE","COUNCIL_DISTRICT","time_diff","in_mon","issue_mon","in_year","issue_year"
"Concrete Pouring","AUGUST","Unknown",2017,NA,NA,6,NA,NA,NA,"CBD","2017-08-11",2017-08-08,2017-08-08,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-08-10",FALSE,0,NA,NA,NA,"Expired","WEST AVE","78701",30.26952957,-97.75052242,9,0,"August","August","2017","2017"
"Outdoor Music Venue",NA,"6th",2021,NA,85,NA,NA,NA,NA,"CBD-H",NA,2021-11-12,2022-03-11,"Bryan Walker","02","10","02","10","02","10","02","10","02","10","02","10","02","10","No",3171,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78701",30.26618573,-97.73558546,9,119,"November","March","2021","2022"
"Private Sound Amplification","DECEMBER","Other",2011,NA,85,NA,NA,NA,0,"CBD","2011-12-31",2011-12-12,2011-12-12,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011-12-31",FALSE,NA,NA,NA,18,"Expired","RIO GRANDE ST","78701",30.26953531,-97.74971587,9,0,"December","December","2011","2011"
"Concrete Pouring","APRIL","Unknown",2018,NA,NA,6,NA,NA,NA,"CBD","2018-04-04",2018-03-30,2018-03-30,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-04-02",FALSE,0,NA,NA,NA,"Expired","NUECES ST","78701",30.26625472,-97.74987971,9,0,"March","March","2018","2018"
"Advertising Sound Amplification","MARCH","Other",2016,NA,70,NA,NA,NA,22,"CS-1","2016-03-19",2016-01-12,2016-03-09,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-03-16",TRUE,NA,NA,NA,14,"Expired","BARTON SPRINGS RD","78704",30.2589742,-97.74808804,9,57,"January","March","2016","2016"
"Concrete Pouring","JULY","Unknown",2009,NA,NA,6,NA,NA,NA,"CBD","2009-07-24",2009-05-29,2009-06-02,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-07-21",FALSE,19,NA,NA,NA,"Expired","LAVACA ST","78701",30.26533402,-97.74664086,9,4,"May","June","2009","2009"
"Concrete Pouring","MAY","Unknown",2019,NA,NA,6,NA,NA,NA,"CBD","2019-05-16",2019-05-13,2019-05-13,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-05-14",FALSE,0,NA,NA,NA,"Expired","6TH ST","78701",30.26873118,-97.74435087,9,0,"May","May","2019","2019"
"Concrete Pouring","OCTOBER","Unknown",2014,NA,NA,6,NA,NA,NA,"CBD","2014-10-25",2014-10-22,2014-10-22,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-10-23",FALSE,19,NA,NA,NA,"Expired","SAN ANTONIO ST","78701",30.26529698,-97.74916709,9,0,"October","October","2014","2014"
"Advertising Sound Amplification","MARCH","Other",2014,NA,85,NA,NA,NA,19,"CBD","2014-03-11",2014-03-04,2014-03-10,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-03-07",FALSE,NA,NA,NA,10,"Expired","CESAR CHAVEZ ST","78701",30.26173862,-97.73925996,9,5.95833333333333,"March","March","2014","2014"
"Concrete Pouring","JANUARY","Unknown",2020,NA,NA,6,NA,NA,NA,"CBD","2020-01-10",2020-01-07,2020-01-07,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-01-08",FALSE,0,NA,NA,NA,"Expired","COLORADO ST","78701",30.26602691,-97.74540561,9,0,"January","January","2020","2020"
"Private Sound Amplification","FEBRUARY","Other",2019,NA,85,NA,NA,NA,22,"TOD","2019-02-23",2019-02-14,2019-02-22,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-02-23",FALSE,NA,NA,NA,15,"Expired","5TH ST","78702",30.26163227,-97.72453965,3,8,"February","February","2019","2019"
"Outdoor Music Venue",NA,"6th",2016,NA,85,NA,NA,NA,NA,"CBD",NA,2016-09-13,2016-12-28,"Bryan Walker","02","10","02","10","02","10","02","10","02","10","02","10","02","10","No",1400,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78701",30.26761321,-97.74006851,9,106.041666666667,"September","December","2016","2016"
"Concrete Pouring","FEBRUARY","Unknown",2020,NA,NA,6,NA,NA,NA,"CBD","2020-02-07",2020-02-04,2020-02-04,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-02-05",FALSE,3,NA,NA,NA,"Expired","RED RIVER ST","78701",30.26080367,-97.73886053,9,0,"February","February","2020","2020"
"Private Sound Amplification","JUNE","Other",2010,NA,NA,NA,NA,22,NA,"CS","2010-06-12",2010-05-21,2010-05-21,"Candy Lynn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-06-12",FALSE,NA,NA,10,NA,"Expired","6TH ST","78702",30.25872588,-97.71352303,3,0,"May","May","2010","2010"
"Concrete Pouring","JULY","Unknown",2019,NA,NA,6,NA,NA,NA,"CBD","2019-07-03",2019-06-27,2019-06-28,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-07-02",FALSE,2,NA,NA,NA,"Expired","RED RIVER ST","78701",30.26080367,-97.73886053,9,1,"June","June","2019","2019"
