SUB_TYPE,APPLICANT_ORGANIZATION,IN_DATE,ISSUE_DATE
Concrete Pouring,SJL Const of TX LTD,9/2/2014,9/2/2014
Advertising Sound Amplification,Rally Marketing Group,5/30/2013,6/19/2013
Government Amplified Sound,Falling Whistles; Lupe Arts,5/26/2010,5/26/2010
Outdoor Music Venue,,7/3/2020,9/3/2020
Concrete Pouring,DPR Construction,4/4/2023,4/4/2023
Outdoor Music Venue,,12/13/2016,1/30/2017
Concrete Pouring,DPR Construction,6/14/2024,6/18/2024
Concrete Pouring,Ryan Companies US INC,6/10/2019,6/10/2019
Outdoor Music Venue,,12/4/2013,3/31/2014
Concrete Pouring,Keystone Concrete Placement,5/26/2021,5/26/2021
Outdoor Music Venue,"7TH & Shady, LLC",8/9/2024,10/7/2024
Government Amplified Sound,Austin Wine & Music Festival,5/26/2010,5/26/2010
Concrete Pouring,DPR Construction,5/10/2024,5/15/2024
Private Sound Amplification,,9/19/2018,9/19/2018
Concrete Pouring,Keystone Concrete Placement,1/6/2022,1/7/2022
Outdoor Music Venue,Plaza Colombian Coffee,3/31/2022,
Outdoor Music Venue,Highland Lounge,7/29/2015,8/21/2015
Concrete Pouring,Spawglass Contractors Inc,12/9/2022,12/9/2022
Concrete Pouring,Baker Concrete Construction,4/7/2022,4/7/2022
Outdoor Music Venue,Opal Divine's Freehouse,3/1/2011,4/27/2011
Outdoor Music Venue,Shabby LLC dba Encore,2/23/2010,3/16/2010
Advertising Sound Amplification,,2/29/2012,3/8/2012
Concrete Pouring,Austin Commercial,10/6/2017,10/6/2017
Advertising Sound Amplification,Tasty Healthy Meals DBA Mel's Meals,2/27/2012,
Concrete Pouring,DPR Construction,6/14/2024,6/14/2024
Concrete Pouring,Holder Construction Company,8/2/2019,8/5/2019
Outdoor Music Venue,Belmont Austin Beverage Company LLC,6/4/2015,7/8/2015
Private Sound Amplification,Aron Levine Productions,2/17/2017,3/10/2017
Outdoor Music Venue,The Blackheart,10/29/2014,11/19/2014
Advertising Sound Amplification,Gypsy Lounge,12/1/2010,12/1/2010
Outdoor Music Venue,The Creek and The Cave,4/30/2021,3/11/2022
Private Sound Amplification,Simon Property Group,6/12/2018,6/14/2018
