SUB_TYPE,APPLICANT_ORGANIZATION,IN_DATE,ISSUE_DATE
Concrete Pouring,Austin Commercial,4/18/2017,4/18/2017
Outdoor Music Venue,,1/3/2014,1/23/2014
Outdoor Music Venue,Speakeasy,1/21/2016,2/28/2016
Concrete Pouring,"Balfour Beatty Construction, LLC",7/1/2014,7/1/2014
Advertising Sound Amplification,The Revolution Inc,3/5/2013,4/2/2013
Concrete Pouring,DPR Construction,11/14/2017,11/14/2017
Outdoor Music Venue,,1/26/2015,3/13/2015
Outdoor Music Venue,Rio Equity LLC,3/9/2018,4/13/2018
Advertising Sound Amplification,Whole Foods Market,2/23/2012,
Concrete Pouring,JE Dunn Construction,5/10/2024,5/13/2024
Outdoor Music Venue,THE DOGWOOD,4/1/2019,4/19/2019
Concrete Pouring,JE DUNN Construction,1/29/2020,
Concrete Pouring,Keystone Concrete Placement,6/22/2023,6/22/2023
Concrete Pouring,Harvey-Cleary,9/7/2023,9/7/2023
Advertising Sound Amplification,"Lacy Maxwell Productions, LLC",12/26/2012,4/2/2013
Private Sound Amplification,Hot Rod Revolution,8/5/2010,8/5/2010
Outdoor Music Venue,,2/7/2012,3/13/2012
Advertising Sound Amplification,Transmission Events,6/18/2013,6/26/2013
Private Sound Amplification,Duty Now For The Future,12/6/2019,1/9/2020
Concrete Pouring,United Forming Inc.,5/3/2012,5/3/2012
Private Sound Amplification,Great Hills Cntry Clb,9/19/2014,10/20/2014
Concrete Pouring,DPR Construction,6/15/2023,6/15/2023
Concrete Pouring,JE Dunn,4/5/2023,
Outdoor Music Venue,MIDAS WILLUM HOLDINGS,2/10/2022,6/13/2022
Concrete Pouring,DPR Construction,2/14/2023,2/14/2023
Advertising Sound Amplification,SLTBMF LLC,3/6/2018,
Concrete Pouring,Keystone Concrete Placement,5/25/2023,5/25/2023
Outdoor Music Venue,,6/12/2019,
Concrete Pouring,DPR Construction,3/9/2020,3/9/2020
Concrete Pouring,ROGERS - O'BRIEN CONSTRUCTION,6/16/2016,6/16/2016
Concrete Pouring,Gilbane,2/21/2018,2/21/2018
Concrete Pouring,Austin Commercial,4/26/2017,4/26/2017
Outdoor Music Venue,**MAIN,2/19/2015,2/3/2016
Outdoor Music Venue,The Powder Room LLC,8/13/2014,9/5/2014
Outdoor Music Venue,Rabbit's Lounge,11/3/2010,12/22/2010
Advertising Sound Amplification,Hotel Vegas,12/27/2013,12/30/2013
Public Sound Amplification,Arthouse At The Jones Center,10/21/2010,
Outdoor Music Venue,The Contemporary Austin,11/14/2016,12/12/2016
Concrete Pouring,DPR Construction,10/18/2023,10/18/2023
Public Sound Amplification,St Edwards Univ,4/22/2015,4/24/2015
Advertising Sound Amplification,Univision,1/6/2016,1/8/2016
Advertising Sound Amplification,WeAre78704.com,10/6/2014,3/16/2015
Concrete Pouring,"Greystar Development & Construction, LP",6/9/2022,6/9/2022
Concrete Pouring,DPR Construction,10/23/2020,10/23/2020
Concrete Pouring,Keystone Concrete Placement,2/28/2023,3/2/2023
Concrete Pouring,Rogers Obrien Const Co,9/30/2019,10/1/2019
Concrete Pouring,"Greystar Development & Construction, LP",9/26/2022,9/27/2022
Advertising Sound Amplification,ATX Television Festival Inc,5/13/2014,5/27/2014
Outdoor Music Venue,Voodoo Room,11/12/2024,
Concrete Pouring,DPR Construction,8/16/2024,8/16/2024
Advertising Sound Amplification,COWBOY HARLEY-DAVIDSON OF AUSTIN,9/14/2011,
Concrete Pouring,Gilbane,6/15/2017,6/15/2017
Concrete Pouring,United Forming Inc,7/14/2014,7/14/2014
Concrete Pouring,JE Dunn Construction,5/15/2015,5/15/2015
Concrete Pouring,"Terra Excavating and Construction, LLC",6/6/2017,6/6/2017
Concrete Pouring,JE Dunn,1/13/2023,1/13/2023
Outdoor Music Venue,HOEKS PIZZA,2/26/2013,
Concrete Pouring,Ryan Companies US INC,1/13/2020,1/14/2020
Advertising Sound Amplification,Rally Marketing Group,11/14/2012,11/15/2012
Outdoor Music Venue,Realhart LLC,2/21/2020,6/5/2020
Outdoor Music Venue,,6/13/2024,7/31/2024
Private Sound Amplification,Alice in Wonderland showing,3/3/2010,3/3/2010
Advertising Sound Amplification,Kung Fu Saloon,2/1/2012,
Outdoor Music Venue,K9 Entertainment LLC. DBA Mutts Canine Cantina,2/29/2024,5/15/2024
Concrete Pouring,DPR Construction,4/26/2024,4/29/2024
Concrete Pouring,TAS Commercial Concrete Construction LLC,4/21/2021,4/21/2021
Concrete Pouring,DPR Construction,11/16/2023,11/16/2023
Private Sound Amplification,,4/13/2018,4/13/2018
Government Amplified Sound,Cristo Rey Catholic Church,3/20/2013,3/21/2013
Concrete Pouring,Capform Inc,8/1/2013,8/1/2013
Outdoor Music Venue,Opa Coffee & Wine Bar,4/4/2023,
Government Amplified Sound,San Jose Catholic Church,9/25/2012,9/25/2012
Advertising Sound Amplification,Vice Media Inc,3/4/2014,3/10/2014
Outdoor Music Venue,The Paradise Cafe,7/18/2011,
Advertising Sound Amplification,Austin American Stateman,2/20/2014,3/11/2014
Concrete Pouring,,3/10/2017,3/10/2017
Outdoor Music Venue,Threadgills,9/18/2012,10/5/2012
Concrete Pouring,DPR Construction,12/4/2023,12/5/2023
Concrete Pouring,W Hotels,5/29/2009,6/2/2009
Concrete Pouring,ROGERS - O'BRIEN CONSTRUCTION,1/5/2017,1/5/2017
Private Sound Amplification,KLEINMAN MICHAEL,9/10/2010,
Outdoor Music Venue,,2/24/2023,3/31/2023
Concrete Pouring,SJL CONST OF TX LTD,2/18/2014,2/18/2014
Private Sound Amplification,,8/20/2018,8/20/2018
Concrete Pouring,JE Dunn Construction,7/1/2015,7/1/2015
Concrete Pouring,DPR Construction,7/14/2021,7/14/2021
Private Sound Amplification,ATX Sounds,2/23/2012,
Concrete Pouring,Capform,10/3/2022,10/5/2022
Government Amplified Sound,Health Alliance For Austin Musicians,9/16/2010,9/20/2010
Outdoor Music Venue,Molotov,9/10/2010,12/10/2010
Outdoor Music Venue,,1/30/2018,3/7/2018
Outdoor Music Venue,Key Bar,2/15/2017,3/15/2017
Outdoor Music Venue,,2/9/2010,3/11/2010
Private Sound Amplification,,9/24/2014,9/25/2014
Advertising Sound Amplification,,6/18/2009,6/22/2009
Government Amplified Sound,The Sanctuary,9/6/2013,9/23/2013
Concrete Pouring,JE DUNN CONSTRUCTION,9/20/2022,9/20/2022
Concrete Pouring,JE Dunn,6/7/2023,6/7/2023
Outdoor Music Venue,Blind Pig LLC,3/31/2011,6/8/2011
Concrete Pouring,DPR Construction,5/2/2023,5/2/2023
Concrete Pouring,Capform Inc,5/15/2014,5/15/2014
Outdoor Music Venue,,2/25/2020,6/23/2020
Concrete Pouring,Tribble & Stephens Construction,6/10/2014,6/10/2014
Concrete Pouring,Largo Concrete,8/27/2020,8/27/2020
Advertising Sound Amplification,Rally Marketing Group Inc,2/18/2014,2/18/2014
Concrete Pouring,JE DUNN CONSTRUCTION,9/22/2022,9/23/2022
Concrete Pouring,Gilbane,10/2/2017,10/2/2017
Private Sound Amplification,Meta,12/4/2024,12/9/2024
Concrete Pouring,Ryan Companies US INC,3/17/2020,3/17/2020
Outdoor Music Venue,Vulcan Gas Company,5/29/2015,7/15/2015
Concrete Pouring,DPR Construction,7/23/2020,7/23/2020
Concrete Pouring,,12/19/2014,12/29/2014
Advertising Sound Amplification,South Austin Music,9/29/2016,9/29/2016
Concrete Pouring,JE DUNN Construction,10/29/2019,10/30/2019
Advertising Sound Amplification,Utopiafest LLC,8/19/2014,8/20/2014
Advertising Sound Amplification,Transmission Events,7/14/2015,7/15/2015
Concrete Pouring,SJL CONST OF TX LTD,1/27/2014,1/27/2014
Outdoor Music Venue,,8/15/2014,9/11/2014
Moving Vehicle,,10/27/2014,10/27/2014
Advertising Sound Amplification,Hotel San Jose,3/5/2013,4/2/2013
Concrete Pouring,JE Dunn,4/10/2023,
Advertising Sound Amplification,,2/28/2011,
Concrete Pouring,JE Dunn Construction,5/27/2021,5/27/2021
Outdoor Music Venue,Mueller Browning Hangar/Lake Park,6/15/2016,9/6/2016
Outdoor Music Venue,Cheer Up Charlies LLC,1/18/2023,3/8/2023
Outdoor Music Venue,North by Northwest Slaughter,7/16/2015,8/14/2015
Public Sound Amplification,The Birdhouse,2/5/2010,2/8/2010
Government Amplified Sound,,6/23/2010,6/23/2010
Concrete Pouring,Austin Commercial,9/19/2017,9/19/2017
Concrete Pouring,Keystone Concrete Placement,11/6/2023,11/6/2023
Concrete Pouring,Capform Inc,7/18/2013,7/18/2013
Advertising Sound Amplification,Heard Entertainment LLC,3/4/2014,3/10/2014
Outdoor Music Venue,,6/17/2019,9/19/2019
Advertising Sound Amplification,,11/3/2017,12/1/2017
Advertising Sound Amplification,Oat Willies Ltd,4/4/2013,4/9/2013
Concrete Pouring,Capform Inc,6/16/2016,6/16/2016
Concrete Pouring,JE Dunn Construction,3/27/2024,3/27/2024
Concrete Pouring,"Balfour Beatty Construction, LLC",9/22/2014,9/22/2014
Public Sound Amplification,EASTSIDE KINGS FOUNDATION,8/21/2018,9/6/2018
Concrete Pouring,Keystone Concrete Placement,6/10/2020,
Private Sound Amplification,Conjunctured LLC,8/19/2010,8/19/2010
Outdoor Music Venue,Jo's Coffee,5/19/2014,6/19/2014
Outdoor Music Venue,,8/2/2017,9/8/2017
Outdoor Music Venue,,2/14/2017,3/29/2017
Outdoor Music Venue,1530 Barton Springs LLC,3/16/2015,4/8/2015
Concrete Pouring,Beck Commercial Construction LLC,8/24/2015,
Government Amplified Sound,Flatwater Foundation,6/2/2014,6/3/2014
Concrete Pouring,Beck Commercial Construction LLC,1/22/2016,1/28/2016
Concrete Pouring,,3/27/2012,3/27/2012
Concrete Pouring,Capform Inc,2/19/2013,
Concrete Pouring,TAS Commercial Concrete Construction LLC,8/17/2020,8/17/2020
Advertising Sound Amplification,"Lacy Maxwell Productions, LLC",12/12/2013,3/10/2014
Outdoor Music Venue,"Beck & Bob's, LLC",5/26/2010,
Advertising Sound Amplification,Freak Show Festival,10/13/2011,10/13/2011
Concrete Pouring,Gilbane Building Company,10/27/2017,10/27/2017
Government Amplified Sound,Weirdo's,7/25/2011,7/26/2011
Concrete Pouring,JE Dunn Construction,2/6/2024,2/6/2024
Concrete Pouring,Harvey-Cleary,8/26/2024,
Outdoor Music Venue,Baby Acapulco Restaurants,7/15/2024,9/4/2024
Concrete Pouring,Largo Concrete,9/10/2013,9/10/2013
Advertising Sound Amplification,Hotel San Jose,12/17/2015,12/21/2015
Concrete Pouring,Rogers Obrien Const Co,9/17/2019,9/17/2019
Concrete Pouring,DPR Construction,8/9/2018,8/9/2018
Concrete Pouring,Pravo Construction,4/27/2023,4/27/2023
Concrete Pouring,JE Dunn,4/26/2024,4/26/2024
Concrete Pouring,DPR Construction,5/31/2024,5/31/2024
Concrete Pouring,Baker Concrete Construction,2/14/2022,2/14/2022
Outdoor Music Venue,Javelina,1/10/2014,2/4/2014
Concrete Pouring,Baker Concrete Construction,2/8/2022,2/8/2022
Advertising Sound Amplification,New Creatures,1/13/2014,3/11/2014
Concrete Pouring,DPR Construction,4/26/2019,4/29/2019
Concrete Pouring,DPR Construction,12/18/2017,12/18/2017
Outdoor Music Venue,Brazos Hall,1/18/2024,2/20/2024
Private Sound Amplification,EASTSIDE KINGS FOUNDATION,8/31/2022,9/9/2022
Concrete Pouring,DPR Construction,12/9/2024,12/9/2024
Concrete Pouring,Austin Commerical LP,9/18/2015,9/18/2015
Concrete Pouring,W Hotels,5/28/2009,6/2/2009
Outdoor Music Venue,KEBABALICIOUS,2/3/2017,3/15/2017
Concrete Pouring,Beck Commercial Construction LLC,8/18/2016,8/18/2016
Government Amplified Sound,Animal Trustees Of Austin,11/12/2009,11/12/2009
Concrete Pouring,DPR Construction,9/29/2023,
Concrete Pouring,,3/27/2012,3/27/2012
Outdoor Music Venue,Tiniest Bar in Texas,2/24/2010,
Concrete Pouring,DPR Construction,3/25/2024,3/25/2024
Advertising Sound Amplification,Carson International Inc,3/7/2013,4/2/2013
Government Amplified Sound,Town Lake Trail Foundation,8/28/2014,
Concrete Pouring,Holder Construction Company,7/25/2019,7/25/2019
Concrete Pouring,Keystone Concrete Placement,10/19/2020,10/19/2020
Concrete Pouring,Austin Commercial,12/8/2017,12/8/2017
Advertising Sound Amplification,Casa Chapala Mexican Grill,10/29/2015,10/29/2015
Moving Vehicle,,10/27/2014,10/27/2014
Concrete Pouring,Gilbane,3/23/2017,3/23/2017
Advertising Sound Amplification,Battleground Texas,8/22/2016,8/22/2016
Concrete Pouring,JE Dunn Construction,6/3/2015,6/3/2015
Concrete Pouring,RSI Concrete,6/28/2022,6/29/2022
Outdoor Music Venue,,2/14/2018,3/7/2018
Concrete Pouring,TAS Commercial Concrete Construction LLC,3/19/2021,3/19/2021
Concrete Pouring,JE Dunn Construction,4/23/2024,4/23/2024
Private Sound Amplification,Duty Now For The Future,8/29/2019,9/5/2019
Advertising Sound Amplification,,2/27/2014,2/27/2014
Outdoor Music Venue,Heartfelt Hospitality,4/15/2016,5/25/2016
Concrete Pouring,JE Dunn Construction,12/14/2023,12/14/2023
Advertising Sound Amplification,The Soup Peddler,3/5/2013,4/2/2013
Concrete Pouring,"Balfour Beatty Construction, LLC",8/15/2014,8/15/2014
Concrete Pouring,Holder Construction Company,3/12/2019,3/13/2019
Concrete Pouring,JE Dunn Construction,3/13/2024,3/13/2024
Concrete Pouring,DPR Construction,8/7/2023,8/7/2023
Outdoor Music Venue,,4/17/2019,6/25/2019
Concrete Pouring,RSI Concrete,8/2/2022,8/3/2022
Advertising Sound Amplification,Tiniest Bar In Texas,8/29/2014,8/29/2014
Concrete Pouring,Capform Inc,1/26/2023,1/26/2023
Advertising Sound Amplification,San Jose Partners LP,11/27/2013,11/27/2013
Concrete Pouring,DPR Construction,4/5/2024,4/5/2024
Outdoor Music Venue,,1/17/2018,3/6/2018
Advertising Sound Amplification,"Urban Infill Partnership, L.P.",1/23/2013,4/2/2013
Outdoor Music Venue,,7/23/2010,10/26/2010
Outdoor Music Venue,Cherrywood Coffee House,7/12/2013,
Concrete Pouring,Capform Inc,5/22/2023,5/22/2023
Outdoor Music Venue,FBR Management,12/19/2023,2/7/2024
Private Sound Amplification,,5/3/2018,5/3/2018
Outdoor Music Venue,,12/28/2020,3/26/2021
Concrete Pouring,"Balfour Beatty Construction, LLC",9/15/2014,9/15/2014
Concrete Pouring,Tribble & Stephens Construction,6/4/2014,6/4/2014
Outdoor Music Venue,Holy Mountain,12/30/2014,1/15/2015
Concrete Pouring,Largo Concrete,6/17/2020,6/17/2020
Concrete Pouring,Keystone Concrete Placement,2/8/2021,2/8/2021
Concrete Pouring,DPR Construction,1/9/2020,1/13/2020
Outdoor Music Venue,Brazos Hall LLC,3/22/2019,5/12/2019
Concrete Pouring,JE Dunn Construction,2/26/2024,2/26/2024
Concrete Pouring,W Hotels,9/3/2009,9/3/2009
Private Sound Amplification,,2/22/2019,3/8/2019
Advertising Sound Amplification,Texas Democratic Party,3/1/2019,3/7/2019
Concrete Pouring,DKC Construction Group,3/29/2017,3/29/2017
Concrete Pouring,DPR Construction,9/13/2023,
Outdoor Music Venue,Easy Tiger Holdings LLC,7/11/2018,8/17/2018
Concrete Pouring,"Greystar Development & Construction, LP",6/22/2022,6/22/2022
Outdoor Music Venue,,9/16/2019,11/21/2019
Private Sound Amplification,"C3 Presents, LLC",2/25/2011,3/22/2011
Outdoor Music Venue,Home Slice Pizza,9/24/2015,11/13/2015
Advertising Sound Amplification,Stay Gold,7/27/2017,7/27/2017
Concrete Pouring,JE Dunn Construction,5/21/2015,5/21/2015
Concrete Pouring,DPR Construction,2/12/2024,2/12/2024
Concrete Pouring,Beck Commercial Construction LLC,2/11/2016,2/11/2016
Moving Vehicle,,10/27/2014,10/27/2014
Concrete Pouring,United Forming,5/31/2022,6/1/2022
Concrete Pouring,Hensel Phelps Construction,2/4/2021,2/4/2021
Advertising Sound Amplification,www.weare78704.com,2/18/2014,3/11/2014
Outdoor Music Venue,Austin Eastciders,12/14/2021,1/11/2022
Concrete Pouring,ROGERS - O'BRIEN CONSTRUCTION,12/15/2016,12/15/2016
Advertising Sound Amplification,WARBY PARKER CITIZEN'S CIRCUS,2/23/2012,
Advertising Sound Amplification,Empire,4/3/2014,4/24/2014
Outdoor Music Venue,,2/4/2020,2/21/2020
Advertising Sound Amplification,Aussie's Bar & Grill,2/23/2010,3/12/2010
Concrete Pouring,DPR Construction,9/29/2023,9/29/2023
Government Amplified Sound,Health Alliance For Austin Musicians,9/17/2012,9/17/2012
Private Sound Amplification,,10/10/2018,10/11/2018
Concrete Pouring,JE Dunn,11/30/2023,11/30/2023
Concrete Pouring,Gilbane,9/11/2017,9/11/2017
Private Sound Amplification,Frontera Security And Investigation,3/22/2013,
Concrete Pouring,Keystone Concrete Placement,7/6/2020,7/6/2020
Concrete Pouring,,4/10/2012,4/10/2012
Outdoor Music Venue,Threadgills,9/9/2013,10/5/2013
Government Amplified Sound,ARTHRITIS FOUNDATION-AUSTIN,5/10/2011,5/10/2011
Concrete Pouring,McClone Construction Company,4/12/2021,4/13/2021
Outdoor Music Venue,,8/7/2017,8/31/2017
Concrete Pouring,DPR Construction,6/2/2020,6/2/2020
Concrete Pouring,JE Dunn Construction,7/15/2021,7/15/2021
Advertising Sound Amplification,Cherrywood Coffee House,1/22/2016,3/3/2016
Advertising Sound Amplification,Fair Market,8/30/2017,
Concrete Pouring,McClone Construction Company,5/3/2021,5/4/2021
Advertising Sound Amplification,Uchi Sushi,3/5/2010,3/5/2010
Advertising Sound Amplification,,10/20/2017,10/20/2017
Concrete Pouring,JE Dunn Construction,8/3/2015,8/3/2015
Concrete Pouring,"Greystar Development & Construction, LP",5/10/2022,5/10/2022
Concrete Pouring,JE Dunn Construction,8/7/2023,8/7/2023
Concrete Pouring,DPR Construction,5/27/2020,5/27/2020
Outdoor Music Venue,**MAIN,12/17/2024,
Concrete Pouring,DPR Construction,10/19/2020,10/19/2020
Concrete Pouring,TAS Commercial Concrete Construction LLC,8/26/2020,8/26/2020
Outdoor Music Venue,,1/31/2018,3/7/2018
Private Sound Amplification,EASTSIDE KINGS FOUNDATION,8/31/2022,9/9/2022
Concrete Pouring,"Greystar Development & Construction, LP",2/18/2022,2/18/2022
Concrete Pouring,DPR Construction,12/27/2013,12/27/2013
Outdoor Music Venue,Sai Seven Hills LLC,10/2/2017,
Concrete Pouring,JE Dunn,2/8/2023,2/10/2023
Concrete Pouring,McClone Construction Company,4/26/2021,4/26/2021
Outdoor Music Venue,,3/30/2016,
Government Amplified Sound,Jesus Is Alive Ministries,10/22/2014,
Private Sound Amplification,Blayne Tucker,2/17/2011,2/17/2011
Concrete Pouring,United Forming Inc,8/20/2014,8/20/2014
Concrete Pouring,Capform Inc,7/10/2017,7/10/2017
Private Sound Amplification,Westwood Country Club,8/20/2015,9/4/2015
Private Sound Amplification,,11/6/2014,11/14/2014
Concrete Pouring,Capform,1/13/2014,1/13/2014
Advertising Sound Amplification,Michael P. Brown,3/15/2011,3/22/2011
Outdoor Music Venue,DiverseArts Culture Works,8/15/2022,7/31/2023
Concrete Pouring,DPR Construction,3/25/2019,3/25/2019
Outdoor Music Venue,,2/23/2010,3/16/2010
Concrete Pouring,Spawglass Contractors Inc,11/22/2022,11/22/2022
Concrete Pouring,Keystone Concrete Placement,12/21/2020,12/21/2020
Concrete Pouring,TAS Commercial Concrete Construction LLC,3/5/2021,3/5/2021
Outdoor Music Venue,The Aquarium on east 6th,6/28/2024,11/19/2024
Concrete Pouring,Rogers O'Brien Construction Company,6/11/2012,6/11/2012
Concrete Pouring,Gilbane,6/26/2017,6/26/2017
Concrete Pouring,SJL Const of TX LTD,3/13/2014,3/13/2014
Concrete Pouring,Baker Concrete Construction,9/8/2021,9/9/2021
Concrete Pouring,Capform Inc,8/2/2013,8/2/2013
Private Sound Amplification,Butler Creative LLC DBA The Butler Bros.,2/25/2011,3/7/2011
Outdoor Music Venue,,5/5/2017,7/6/2017
Outdoor Music Venue,,3/3/2017,
Concrete Pouring,DPR Construction,10/25/2023,10/26/2023
Outdoor Music Venue,,12/22/2022,3/10/2023
Outdoor Music Venue,Star Bar,4/25/2011,9/20/2011
Concrete Pouring,DPR Construction,1/11/2019,1/11/2019
Concrete Pouring,SJL Const of TX LTD,3/28/2014,3/28/2014
Concrete Pouring,RSI Concrete,7/14/2022,7/14/2022
Concrete Pouring,JE Dunn Construction,8/1/2024,8/2/2024
Outdoor Music Venue,"Lone Star Bean, LLC",9/22/2010,5/3/2011
Outdoor Music Venue,Heard Entertainment Texas LLC,8/13/2014,9/4/2014
Concrete Pouring,Holder Construction Company,8/19/2019,8/19/2019
Outdoor Music Venue,Mueller Browning Hangar/Lake Park,6/11/2014,7/7/2014
Private Sound Amplification,,4/2/2021,4/5/2021
Concrete Pouring,United Forming,5/13/2022,5/13/2022
Advertising Sound Amplification,Vagabond Collective,2/28/2011,3/22/2011
Outdoor Music Venue,Kung Fu Saloon,4/28/2022,6/10/2022
Concrete Pouring,Spawglass Contractors Inc,7/20/2023,7/20/2023
Outdoor Music Venue,Unbarlievable,3/30/2021,4/26/2021
Outdoor Music Venue,Bounce Events,3/25/2021,5/11/2021
Outdoor Music Venue,,2/15/2018,3/6/2018
Outdoor Music Venue,Easy Tiger Holdings LLC,6/6/2017,7/5/2017
Concrete Pouring,Capform Inc,9/6/2017,9/6/2017
Concrete Pouring,Tribble & Stephens Construction,9/23/2014,9/23/2014
Outdoor Music Venue,Allan-Thrasher LLC,11/2/2022,12/22/2022
Concrete Pouring,Austin Commercial,5/24/2017,5/24/2017
Government Amplified Sound,Health Alliance For Austin Musicians,8/27/2010,8/27/2010
Concrete Pouring,JE Dunn Construction,11/29/2023,11/29/2023
Outdoor Music Venue,Baby Acapulco Mexican Restaurant,3/24/2011,6/29/2011
Government Amplified Sound,Whip In,11/6/2009,11/6/2009
Concrete Pouring,JE Dunn Consturction,9/15/2015,10/21/2015
Advertising Sound Amplification,Fair Market,9/20/2016,9/20/2016
Concrete Pouring,JE Dunn,7/27/2023,7/27/2023
Outdoor Music Venue,1530 Barton Springs LP,1/10/2012,2/23/2012
Private Sound Amplification,High Beams Events,2/17/2011,2/17/2011
Advertising Sound Amplification,El Tejano,3/11/2010,3/11/2010
Concrete Pouring,JE Dunn Construction,6/12/2020,6/12/2020
Advertising Sound Amplification,"Beerland, LLC",2/23/2012,
Advertising Sound Amplification,Emo's Annex,2/22/2011,3/22/2011
Advertising Sound Amplification,,9/27/2016,10/27/2016
Outdoor Music Venue,,5/16/2019,6/6/2019
Advertising Sound Amplification,Frontier Bar LLC DBA FRON,2/28/2011,
Concrete Pouring,DPR Construction,6/10/2019,6/10/2019
Concrete Pouring,"STI, LLC",8/25/2014,8/25/2014
Concrete Pouring,W Hotels,1/11/2010,1/11/2010
Concrete Pouring,Baker Concrete Construction,3/11/2022,3/11/2022
Outdoor Music Venue,,3/27/2014,5/7/2014
Outdoor Music Venue,Carmack Concepts,11/6/2013,12/2/2013
Outdoor Music Venue,Tipsy Alchemist,7/28/2022,9/1/2022
Concrete Pouring,Holder Construction Company,2/27/2020,2/27/2020
Outdoor Music Venue,Craig Nasso Architects,5/16/2023,7/25/2023
Concrete Pouring,DPR Construction,8/1/2024,8/2/2024
Outdoor Music Venue,04 Enterprises Incorporated DBA Creekside Lounge,2/22/2010,3/16/2010
Private Sound Amplification,HOH Creative Group,2/5/2013,4/2/2013
Concrete Pouring,JE Dunn Construction,1/20/2016,1/20/2016
Concrete Pouring,"Greystar Development & Construction, LP",3/9/2022,3/9/2022
Outdoor Music Venue,Frape Inc,6/9/2014,7/8/2014
Outdoor Music Venue,Carmack Concepts,11/12/2013,12/2/2013
Private Sound Amplification,Huston-Tillotson University,2/10/2017,2/10/2017
Advertising Sound Amplification,Texas Toast Jam 2,7/10/2012,9/11/2012
Concrete Pouring,Holder Construction Company,3/26/2020,3/26/2020
Outdoor Music Venue,,10/18/2023,12/22/2023
Private Sound Amplification,,4/9/2015,4/10/2015
Concrete Pouring,Beck Commercial Construction LLC,11/23/2015,11/23/2015
Concrete Pouring,"United Forming, Inc.",5/10/2016,9/7/2016
Advertising Sound Amplification,Transmission Events,2/9/2015,3/6/2015
Advertising Sound Amplification,Jack and Gingers,2/8/2017,3/7/2017
Concrete Pouring,Jay-Reese Contractors,5/22/2014,5/22/2014
Concrete Pouring,TAS Commercial Concrete Construction LLC,6/8/2021,6/8/2021
Advertising Sound Amplification,Tamale House East,2/20/2014,3/12/2014
Outdoor Music Venue,,12/17/2014,1/7/2015
Outdoor Music Venue,Parlor & Yard LLC,5/1/2023,5/26/2023
Outdoor Music Venue,Pine Street Station,11/1/2011,2/8/2012
Concrete Pouring,Keystone Concrete Placement,3/16/2023,3/16/2023
Concrete Pouring,JE Dunn Construction,5/14/2021,5/14/2021
Concrete Pouring,DPR Construction,1/5/2024,1/5/2024
Concrete Pouring,Ryan Companies US INC,7/26/2019,7/26/2019
Concrete Pouring,Harvey-Cleary,11/8/2022,11/8/2022
Outdoor Music Venue,CIRCUIT OF THE AMERICAS LLC,1/19/2024,2/20/2024
Concrete Pouring,"Greystar Development & Construction, LP",4/7/2022,4/7/2022
Concrete Pouring,Baker Concrete Construction,4/21/2022,4/21/2022
Concrete Pouring,Spawglass Contractors Inc,4/4/2023,4/4/2023
Outdoor Music Venue,1530 Barton Springs LLC,2/21/2014,4/8/2014
Concrete Pouring,Holder Construction Company,1/14/2020,1/16/2020
Advertising Sound Amplification,"Turnkey Dot, LLC",3/6/2018,3/6/2018
Concrete Pouring,Keystone Concrete Placement,7/19/2021,7/19/2021
Concrete Pouring,DPR Construction,4/1/2019,4/1/2019
Private Sound Amplification,The Natural Gardener,11/4/2016,11/4/2016
Outdoor Music Venue,,2/2/2016,3/24/2016
Outdoor Music Venue,,3/12/2015,5/6/2015
Concrete Pouring,Capform,5/8/2014,5/8/2014
Concrete Pouring,Beck Commercial Construction LLC,4/12/2016,4/12/2016
Concrete Pouring,JE Dunn Construction,10/2/2015,10/2/2015
Outdoor Music Venue,,3/28/2022,5/9/2022
Private Sound Amplification,,4/7/2017,4/7/2017
Outdoor Music Venue,Darwin's Pub,3/4/2022,4/12/2022
Concrete Pouring,DPR Construction,4/20/2023,4/20/2023
Concrete Pouring,Gilbane,7/28/2017,7/28/2017
Concrete Pouring,Rogers O'Brien Construction Company,6/19/2012,6/19/2012
Advertising Sound Amplification,,3/6/2013,
Advertising Sound Amplification,,2/24/2016,3/1/2016
Concrete Pouring,DPR Construction,4/28/2014,4/28/2014
Outdoor Music Venue,Oilcan Harry's,2/11/2022,3/7/2022
Concrete Pouring,Gilbane,3/23/2018,3/23/2018
Concrete Pouring,Gilbane,1/3/2018,1/3/2018
Concrete Pouring,Rogers Obrien Const Co,10/28/2019,10/28/2019
Concrete Pouring,JE Dunn,7/21/2023,7/21/2023
Concrete Pouring,"Balfour Beatty Construction, LLC",7/1/2015,7/1/2015
Concrete Pouring,DPR Construction,1/5/2024,1/5/2024
Advertising Sound Amplification,Roadway Productions,4/4/2014,4/7/2014
Advertising Sound Amplification,High Beams Events,3/8/2016,3/10/2016
Concrete Pouring,DPR Construction,1/30/2020,1/30/2020
Concrete Pouring,Baker Concrete Construction,9/16/2021,9/16/2021
Concrete Pouring,TAS Commercial Concrete Construction LLC,9/13/2021,9/13/2021
Outdoor Music Venue,,2/6/2018,3/12/2018
Concrete Pouring,"Balfour Beatty Construction, LLC",3/20/2015,3/20/2015
Concrete Pouring,Largo Concrete,1/10/2023,1/10/2023
Concrete Pouring,Hensel Phelps Construction,9/21/2020,9/22/2020
Concrete Pouring,Rogers O'Brien Construction Company,6/1/2012,6/1/2012
Outdoor Music Venue,Hangar Lounge,3/10/2017,4/11/2017
